Code,Title,Lab,Dept
AIM 101 , Statistics for DS,False,CSE
AIM 102 , Statistical Machine Learning,False,CSE
AIM 704 , Multi-agent Systems,False,CSE
AIM 821 , Spatial Computing,False,CSE
AIM 825 , Visual Recognition,False,CSE
AIM 829 , Natural Language Processing,False,CSE
AIM 831 , Few-shot Learning,False,CSE
AIM 832 , Reinforcement Learning,False,CSE
AIM 843 , Spatio-temporal Data Analytics I,False,CSE
AIM 845 , Topics in Quantum Computing,False,CSE
AIM 846 , Multiobjective Machine Learning,False,CSE
AMS 401 , Science& Maths Pool-4 (Electromagnetics & Radiation Systems),False,ECE
AMS 402 , Science& Maths Pool-3 (Basic Computational Topology),False,ECE
AMS 403 , Science& Maths Pool-2 (Elements of Statistical Physics),False,ECE
AMS 404 , Science& Maths Pool-1 (A computational introduction to Number Theory),False,ECE
COM 605 , 5G-NR Radio Access Network Design with Hands-on,False,ECE
COM 837 , ML for Wireless Communication,False,ECE
COM 863 , Fundamentals of Radar Sensing,False,ECE
CSE 102 , Data Structures and Algorithms,False,CSE
CSE 102 P , Data Structures and Algorithms lab,True,CSE
CSE 104 , Linear Algebra,False,CSE
CSE 212 , Design and Analysis of Algorithms,False,CSE
CSE 606 , Computer Graphics,False,CSE
CSE 704 , Topics in Computability and Learning,False,CSE
CSE 718 , Foundations of Distributed Consensus and Blockchains,False,CSE
CSE 754 , Programming Languages,False,CSE
CSE 816 , Software Production Engineering,False,CSE
CSE 819 , Robotics,False,CSE
CSE 824 , Cyber Security Fundamentals with Tools & Techniques for Defence,False,CSE
CSE 836 , Simulation and Modeling of Data using High Performance Computing,False,CSE
CSE 852 , Approximation Algorithms,False,CSE
DAS 101 , Database Systems,False,CSE
DAS 101P , Database Lab,True,CSE
DAS 605 , Data Modelling,False,CSE
DAS 839 , NoSQL Systems,False,CSE
DHS 101B , Economics-II,False,ECE
DHS 108 , The City,False,ECE
DHS 110 , Social Pathways to IT,False,ECE
DHS 201 , Technical Communication,False,ECE
DHS 305 , Innovation and Design Thinking,False,ECE
DHS 306 , Software Architecture for Digital Products,False,ECE
DHS 308 , User Experience,False,ECE
DHS 314 , An Introduction to Accessibility in the Global South,False,ECE
DHS 315 ," Technology, Regulation and Law",False,ECE
DHS 611 , Research and Publication Ethics,False,ECE
ECE 212 , Analog Circuits,False,ECE
ECE 212P , Analog Circuits Lab,True,ECE
ECE 303 , Principles of Communication Systems,False,ECE
ECE 303P , Principles of Communication Systems Lab,True,ECE
ECE 304 , Signal Processing,False,ECE
EGC 121 , Computer Architecture,False,ECE
EGC 123 , Computer Networks,False,ECE
EGC 301 , Operating Systems,False,ECE
EGC 301P , Operating Systems Lab,True,ECE
VLS 603 , Electronic Systems Packaging,False,ECE
VLS 731 , VLSI Architecture Design,False,ECE
VLS 804 , Analog Power ICs,False,ECE
