code,exam choice
AIM 101,Same
AIM 102,Same
AIM 704,Same
AIM 821,Same
AIM 825,NoExam
AIM 829,NoExam
AIM 831,Same
AIM 832,Same
AIM 843,Same
AIM 845,Same
AIM 846,Same
AMS 401,Same
AMS 402,Same
AMS 403,Same
AMS 404,Same
COM 605,Same
COM 837,NoExam
COM 863,NoExam
CSE 102,Different
CSE 102 P,Different
CSE 104,Different
CSE 212,Same
CSE 606,Same
CSE 704,Same
CSE 718,Same
CSE 754,Same
CSE 816,Same
CSE 819,NoExam
CSE 824,Same
CSE 836,Same
CSE 852,NoExam
DAS 101,Different
DAS 101P,Different
DAS 605,Same
DAS 839,Same
DHS 101B,NoExam
DHS 108,Same
DHS 110,NoExam
DHS 201,NoExam
DHS 305,Same
DHS 306,Same
DHS 308,Same
DHS 314,Same
DHS 315,Same
DHS 611,Same
ECE 212,Same
ECE 212P,Same
ECE 303,Same
ECE 303P,Same
ECE 304,Same
EGC 121,Different
EGC 123,Different
EGC 301,Same
EGC 301P,NoExam
VLS 603,Same
VLS 731,NoExam
VLS 804,Same
